28,11,5,37,46,4,22,22,41,42,14,0,0,0,2,22,22,22.0,22.0,4,4,4.0,4.0,1,3,25,2,8,1
29,13,5,35,46,4,21,22,41,40,29,1,0,0,2,22,22,22.0,22.0,4,5,4.5,4.5,0,4,27,4,9,3
30,10,5,35,50,4,21,19,61,40,21,0,0,0,2,19,21,20.0,20.0,4,5,4.5,4.5,1,4,27,3,7,2
31,10,5,35,52,5,20,19,52,40,20,0,0,0,2,19,19,19.0,19.0,5,5,5.0,5.0,1,4,28,3,7,1
32,12,5,33,52,5,19,19,52,38,20,0,0,0,2,19,19,19.0,19.0,5,6,5.5,5.5,0,5,30,3,8,1
33,14,5,31,54,5,19,19,52,36,21,0,0,0,2,17,19,18.0,18.0,5,6,5.5,5.5,1,5,30,3,8,1
34,16,5,27,54,5,19,19,52,32,25,1,0,0,2,17,19,18.0,18.0,5,6,5.5,5.5,1,5,32,4,8,3
35,12,5,25,58,5,19,15,77,30,23,0,0,0,2,15,17,16.0,16.0,5,6,5.5,5.5,1,5,32,4,7,2
36,12,5,23,58,6,18,15,64,28,23,1,0,0,2,15,17,16.0,16.0,6,6,6.0,6.0,1,5,32,4,7,3
37,8,5,21,62,6,18,11,97,26,19,0,0,0,2,11,17,14.0,14.0,6,6,6.0,6.0,1,5,32,3,6,2
38,8,5,19,62,7,17,11,84,24,19,1,0,0,2,11,17,14.0,14.0,6,7,6.5,6.5,1,5,32,3,6,3
39,5,5,17,65,7,17,8,114,22,12,0,0,0,2,8,17,12.5,12.5,6,7,6.5,6.5,1,5,32,2,5,1
40,7,5,13,65,7,17,8,114,18,12,0,0,0,2,8,17,12.5,12.5,6,7,6.5,6.5,1,5,32,2,6,1
41,9,5,11,71,7,17,8,114,16,12,0,0,0,2,8,11,9.5,9.5,6,7,6.5,6.5,1,5,32,2,7,2
42,9,5,9,71,8,16,8,103,14,12,1,0,0,2,8,11,9.5,9.5,6,8,7.0,7.0,1,5,47,2,7,3
43,8,5,7,72,8,16,7,126,12,11,0,0,0,2,7,11,9.0,9.0,6,8,7.0,7.0,1,5,47,2,7,1
44,10,5,3,72,8,16,7,126,8,18,0,0,0,2,7,11,9.0,9.0,6,8,7.0,7.0,1,5,47,4,7,1
45,12,5,1,75,8,16,7,126,6,21,0,0,0,2,7,8,7.5,7.5,6,8,7.0,7.0,1,5,47,5,9,1
46,14,5,74,0,8,15,7,126,79,22,0,0,0,2,7,8,7.5,7.5,7,8,7.5,7.5,0,6,51,5,9,1
47,16,5,70,0,8,15,7,126,75,22,0,0,0,2,7,8,7.5,7.5,7,8,7.5,7.5,1,6,51,5,9,1
48,18,5,66,0,8,15,7,126,71,34,2,0,0,2,7,8,7.5,7.5,7,8,7.5,7.5,1,6,51,6,9,1
49,20,5,62,0,8,15,7,126,67,41,3,0,0,2,7,8,7.5,7.5,7,8,7.5,7.5,1,6,51,7,9,1
50,22,5,58,0,8,15,7,126,63,42,3,0,0,2,7,8,7.5,7.5,7,8,7.5,7.5,1,6,51,8,9,1
