3154078b-0d2e-4086-908a-79cc24496219,96,90,,,,,3325,,,,,,,,,2 graczy,3 graczy,4 graczy,5 graczy,all
70e21a97-6f4e-4ecc-8e9b-d1b893f2ec4c,109,84,,,,,,,,,,,,123,,"2,5",2,"1,25","1,4",23
63b5f6d9-9802-4d2b-80e5-58ba90380113,107,102,,,,,,,,,,,,124,,"2,5","1,66666666666667","1,25","1,4",22
6e5e5cae-fb83-4799-a89e-61f1b86c9d56,99,109,,,,,,,,,,,,125,,"3,5",2,2,1,26
4a375a2d-1b67-4d1d-b46c-6068f68f5c84,112,114,,,,,,,,,,,,126,,"0,5","0,666666666666667","2,25",1,17
da95f1fa-1730-4165-9cb7-3b7aaf26f670,99,130,,,,,,,,,,,,127,,1,"1,33333333333333","1,5","1,2",18
ae09970e-556a-46ab-a7e6-904dfa07988a,110,117,,,,,,,,,,,,128,,"1,5","1,33333333333333","0,75","0,8",14
de366a4e-89fb-41b9-9830-3baec28e8933,98,130,,,,,,,,,,,,129,,"3,5",2,"1,25","0,8",22
1c76574a-46f6-4850-a0d2-c331a668ae1a,94,92,,,,,,,,,,,,130,,1,"0,666666666666667","0,75",1,12
a7cbc82f-8e3b-4ac4-8e9a-014ad0fe992d,106,115,,,,,,,,,,,,131,,"0,5","0,666666666666667","1,25","0,6",11
33425b7d-68e5-4627-b3e2-2b2f949dcac3,87,112,,,,,,,,,,,,132,,0,2,"0,75","0,6",12
dda4b975-5f30-4458-a757-cf121b3aeef5,119,135,,,,,,,,,,,,133,,"2,5","1,33333333333333",1,"0,6",16
8e1255fb-3d5f-4023-bfe8-efa5cb013fbb,82,92,,,,,,,,,,,,134,,"0,5","0,333333333333333","0,5","0,4",6
36cec97c-0c2d-4eb4-a88d-e3e9dc3f1697,100,102,,,,,,,,,,,,135,,2,"0,333333333333333",0,"0,6",8
205848e4-2a17-4f8d-bd1a-548e4027a6bc,96,103,,,,,,,,,,,,136,,1,0,"0,5","0,2",5
8fcd5fd6-8cc5-4819-9d0a-d4f1d8fd3655,129,111,,,,,,,,,,,,137,,"0,5","0,666666666666667",1,"0,2",8
b49a92d2-0732-422d-aaaf-0b8257f7b1ef,90,92,,,,,,,,,,,,138,,1,1,0,0,5
18f799a6-f2fc-4f05-871f-fb61a3cfe400,93,116,,,,,,,,,,,,139,,"0,5","0,333333333333333","1,25","0,2",8
e11ad9ab-a2ef-4952-877a-c71d7cff3ffb,104,104,,,,,,,,,,,,140,,0,0,0,"0,2",1
0e5553d9-841f-4854-9326-538fedc8e686,112,112,,,,,,,,,,,,141,,0,0,0,"0,4",2
a82d8449-4fc8-4716-bf8f-791385410a16,106,112,,,,,,,,,,,,142,,0,0,0,0,0
43eba8cd-43c5-4f82-ac67-844aa739850f,99,95,,,,,,,,,,,,143,,0,"0,333333333333333","0,75","0,2",5
33bcd7a3-174b-4677-b0ec-0d7aac38e25b,136,109,,,,,,,,,,,,144,,0,0,0,0,0
b5bbc670-52d9-4ac3-8da3-7daf2d987708,107,107,,,,,,,,,,,,145,,"0,5",0,0,0,1
1cc84924-81fe-4275-809d-f4ca407edaf4,105,91,,,,,,,,,,,,146,,"0,5","0,333333333333333",0,"0,2",3
576a4a48-148d-4286-94a1-0a23ba3b3302,65,96,,,,,,,,,,,,147,,1,"0,333333333333333","0,5","0,2",6
fail 2 in turn: 47,,,,,,,,,,,,,,148,,1,0,"0,25",0,3
6d5fa105-bf1c-4fcd-8570-37192f9d7f13,99,90,,,,,,,,,,,,149,,"0,5",0,"0,25",0,2
a2e53463-8ed5-4750-b801-261f72b4203e,103,106,,,,,,,,,,,,150,,0,0,"0,25",0,1
de874ac5-61ef-4d32-ad8e-7be80db20cd6,79,122,,,,,,,,,,,,151,,0,0,0,0,0
67a67f17-8a9b-485f-ae09-61cc9c5e38ce,98,102,,,,,,,,,,,,152,,"0,5",0,"0,25",0,2
d2c63e68-6d8c-490b-90c1-c539d5dd9b8e,112,112,,,,,,,,,,,,153,,"0,5",0,0,0,1
f102d288-6e02-42ac-85a4-29539ffc1d7d,101,109,,,,,,,,,,,,154,,0,0,0,0,0
313b9dda-bf83-48fe-a354-1e3329500c3b,113,107,,,,,,,,,,,,155,,0,0,"0,25",0,1
17fdf0f0-f131-4d74-a731-2b2b5f8478f0,115,120,,,,,,,,,,,,156,,0,0,0,0,0
791bed70-c8e0-4e09-a531-2c807d9d124e,112,91,,,,,,,,,,,,157,,0,0,0,0,0
1ad05925-856f-4eec-ab91-ed8324d2304d,102,124,,,,,,,,,,,,158,,"0,5",0,0,0,1
1e97d443-7e4f-4a50-8be8-91b5d1bf44b3,105,87,,,,,,,,,,,,159,,0,0,"0,25","0,2",2
c04621d8-d0bf-4e7b-9eb6-8cc8f6a9e48d,96,83,,,,,,,,,,,,160,,0,0,0,0,0
f558d9bb-622e-4648-95c2-41a766ff528f,96,89,,,,,,,,,,,,161,,0,0,0,0,0
64e01b3e-6013-4c2c-a469-376feb4a9101,126,114,,,,,,,,,,,,162,,0,0,0,"0,2",1
942e2a42-d1d2-440f-955e-8ed022c6494e,122,98,,,,,,,,,,,,163,,"0,5",0,0,0,1
7ad4217c-8851-48aa-8a29-54f70da1ba08,94,97,,,,,,,,,,,,164,,0,0,0,0,0
b3c24189-6e93-40e6-bebb-2bf7b6eefb30,122,128,,,,,,,,,,,,165,,0,0,0,0,0
94ae458f-34c5-4506-abe1-e329c1de4f63,101,111,,,,,,,,,,,,166,,0,0,0,"0,2",1
bdae7d28-b3eb-4b6f-b780-275932509db8,114,107,,,,,,,,,,,,167,,0,0,0,0,0
a00bf3b1-3479-4c4e-8669-dc67cb38616b,128,106,,,,,,,,,,,,168,,0,0,0,0,0
ae13b124-4255-4387-a64a-e305559050aa,111,104,,,,,,,,,,,,169,,0,0,0,0,0
