b60db5e8-0b2b-4994-8318-18a57dbbfc1f;113;121;136;95;
67d3770e-7801-42b7-9e6e-ea58fe181477;101;71;92;88;
fail 4 in turn: 44
f32e9a2d-ca49-4be2-a5f5-c0b864c36acd;24;55;84;76;
4488f159-4e2f-4b13-a738-9d4e5d7e23d4;86;86;108;103;
431739cd-7fa4-4c10-a6c8-404554b46866;83;111;91;119;
aa5c8658-c1bd-44c3-9558-585a8c79143d;83;85;92;86;
370562ed-c37c-4dd3-9ccf-d9cb7b019e27;101;119;116;89;
0961dc3b-9eb0-417c-bac0-e7b8feed034a;73;105;97;83;
fail 4 in turn: 41
a1d5262c-ef55-4eb7-880d-32257499d5d7;88;96;97;104;
82c06355-0c8b-4c68-b99f-46521aa407bf;105;101;103;120;
1c1c5a2e-3e63-4f4f-9194-5507319f748a;79;104;73;121;
5cdde8d5-e4e9-4eca-9bbe-8ff58ccf2aec;101;70;61;77;
5886a1e9-138b-4d48-802b-d699551e22de;89;92;97;99;
21e5a272-029a-4413-a9b4-5a4c18a6e7cb;106;89;34;81;
4f3900a8-35b9-40b1-91ef-ab83720af6e4;127;119;97;89;
8330600d-5b48-49fd-8ef9-5eb231a71483;104;103;66;99;
74b2723b-a5e3-4b10-975f-7a4c4eb7f8ee;99;73;72;119;
7282d694-1fcd-40c3-8967-1a9de0b7d852;86;101;101;97;
5df0d27d-d0a6-46aa-a486-f12be6044f1d;70;102;72;99;
55c28311-9e37-445c-bab7-c8c9fc97b110;93;120;60;100;
aebfbdd5-facc-4805-8bee-840bc472920b;99;108;106;110;
b725101a-0134-4b95-8fe5-64d1f75fa09b;71;80;81;64;
d46bb243-3316-44d6-9bca-3739e606553c;84;72;96;87;
1b42087f-cfa2-4f3c-8132-22fca8c82461;109;80;122;107;
4e3d2903-5166-4b6f-9ad5-dc794843ab30;104;122;100;105;
fail 4 in turn: 47
ff2ac70a-b8b0-4112-aae1-f12572eb758b;80;73;85;91;104;
705ecdf6-89e2-4821-9d90-5a4e87bd5f11;87;140;100;113;103;
fail 5 in turn: 38
7367ccbc-02c3-4e7f-956c-f8091699291c;101;90;99;85;108;
673cb268-0ec2-43f6-8624-3067c80c6223;101;94;73;88;70;
8aa30c09-fb9b-4f1a-8a63-3eed118bf201;66;39;84;109;114;
c825028e-c86d-4307-ba79-c1503e2be096;89;87;82;84;99;
00bc7bba-03ad-4ffd-b041-0aaafdfa7ed1;79;73;70;37;98;
f264ce8c-7047-4b41-a2cb-c0c4334fc72d;82;102;93;61;41;
b1ec49c6-f2a6-477a-9033-72c612533ee8;97;76;98;89;112;
fail 5 in turn: 36
2aca7d09-ab4b-4880-896c-4055a4dfbe39;66;68;108;94;80;
9a984c34-3ab7-40a6-af6b-78bfcaa24242;81;75;103;100;103;
3bef7c70-e0fb-40e7-a5a1-82e29fa0568e;111;95;102;103;107;
fail 5 in turn: 38
867a8acd-17bf-4ef9-9214-e4a240c09f66;85;72;71;79;110;
